question_id,skill,cefr_level,text,level,metric_flags,predicted_level,level_match,level_change_reason,accuracy_pct,clarity_score,construction_score,passage_strength_score,grammar_errors,qc_label,qc_reason,qc_level_only,fairness_flags,fairness_qc_label,fairness_qc_reason,final_decision,final_decision_reason
9f4b2c22-7f78-43e5-84e6-01d44b283b75,speaking,A2,"Describe a family member or a friend you like.

Topic: Describe a family member or a friend you like.

You should say:
- Who this person is and how you are related
- What they do at home or at work
- A simple time you spent with them and how you felt

You have 1 minute to prepare. Speak for about 1 minute.",A2,none,A2,True,pass,100,5,5,5,0,PASS,meets all QC targets,False,none,FAIRNESS_PASS,pass,SELECT,SELECT -- passed
8dae0689-a007-4978-90b2-2887ead00d0d,speaking,B2,"Talk about a renewable energy source that you think is important.

Topic: Describe a renewable energy source you think is important.

You should say:
- What the energy source is and where it is commonly used
- How it produces power in simple terms
- Why you believe it is important and what benefits it brings
- Any problems or limitations it faces and one way it could be supported or improved

You have 2 minutes to prepare. Speak for up to 2 minutes.",B2,none,B2,True,pass,100,5,5,5,0,PASS,meets all QC targets,False,none,FAIRNESS_PASS,pass,SELECT,SELECT -- passed
904b82f4-0592-4ccc-98b7-80c1dbba8ff4,speaking,B1,"Talk about a small action you took to help the environment.

Topic: Describe a small action you took to help the environment.

You should say:
- When and where this happened (for example at home, at work, or in your neighbourhood).
- What you did exactly and the steps or materials you used.
- Why you chose to do this and what effect it had on the environment or on other people, and how you felt.

You have 2 minutes to prepare and up to 1.5 minutes to speak.",B1,none,B1,True,pass,100,5,5,5,0,PASS,meets all QC targets,False,none,FAIRNESS_PASS,pass,SELECT,SELECT -- passed
786b5f84-25ed-41ac-8bae-83c54762807b,speaking,A1,"Describe a fruit or a vegetable you like.

Topic: Describe a fruit or a vegetable you like.

You should say:
- The name and the colour
- Where you buy it
- Why you like it and how often you eat it

You have 45 seconds to prepare. Speak for about 45 seconds.",A1,none,A2,False,Changed from A1 to A2: The task uses high-frequency vocabulary and simple grammatical structures to address immediate personal relevance and shopping.,100,5,5,5,0,FLAG,predicted CEFR level outside defined range of labeled level,True,none,FAIRNESS_PASS,pass,REVIEW,REVIEW -- content: Predicted CEFR level outside defined range of labeled level.
5aaba6ca-8391-4364-8e53-49510e8b1189,speaking,A1,"Talk about your daily routine.

Topic: Describe your daily routine.

You should say:
- When you wake up.
- One thing you do in the morning.
- When you go to bed.

You have 45 seconds to prepare. Speak for about 45 seconds.",A1,none,A1,True,pass,100,5,5,5,0,PASS,meets all QC targets,False,none,FAIRNESS_PASS,pass,SELECT,SELECT -- passed
7e1151e2-dcfa-4508-abe0-c9db7d341782,speaking,B1,"Talk about a piece of technology that you use in your daily life and explain why it is important to you.

Topic: Describe a piece of technology you use every day.

You should say:
- What the device or app is and how you use it each day.
- How it helps you with work, study or free time.
- Any problems it causes sometimes or how your use has changed.

You have 2 minutes to prepare. Speak for about 90 seconds.",B1,none,B1,True,pass,100,5,5,5,0,PASS,meets all QC targets,False,none,FAIRNESS_PASS,pass,SELECT,SELECT -- passed
94243cb1-5c68-4565-a8a4-45fa5e29d5af,speaking,A1,"Describe your home. Say short facts about it.

Topic: Describe your home

You should say:
- Where you live
- How many rooms are in your home
- Who lives with you

Preparation time: 45 seconds. Speaking time: 45 seconds.",A1,none,A1,True,pass,100,5,5,5,0,PASS,meets all QC targets,False,none,FAIRNESS_PASS,pass,SELECT,SELECT -- passed
897ac6e7-fe23-4806-9bf6-d744903d0ce7,speaking,C2,"Describe the theory of linguistic relativity and discuss its significance for thought and intercultural understanding.

Topic: Describe the theory of linguistic relativity (the Sapir-Whorf hypothesis).

You should say:
- Outline the theory concisely, including its historical origins and the central claim about how language and cognition interrelate.
- Provide one concrete example (empirical or hypothetical) that illustrates how linguistic categories could affect perception, memory or behaviour.
- Appraise the main empirical evidence and methodological challenges, summarising key supportive findings and prominent counterarguments.
- Discuss the broader ramifications for education, translation and intercultural communication, and give your own reasoned evaluation of the theory's contemporary relevance.

You have 2 minutes to prepare. Speak for up to 3 minutes 30 seconds.",C2,none,C1,False,"Changed from C2 to C1: The prompt requires the use of highly specialized academic vocabulary and the ability to discuss abstract, complex theoretical concepts and methodological challenges.",100,5,5,5,0,FLAG,predicted CEFR level outside defined range of labeled level,True,none,FAIRNESS_PASS,pass,REVIEW,REVIEW -- content: Predicted CEFR level outside defined range of labeled level.
9e06068f-ac82-4cc9-a951-d5a30c5deb13,speaking,C2,"Describe an example, claim or study that illustrates the theory of linguistic relativity and discuss its significance.

Topic: Describe an example or claim that illustrates the theory of linguistic relativity.

You should say:
- Summarise the specific claim, hypothesis or empirical study you will discuss, making its central contention explicit.
- Describe a concrete instance - a cross-cultural observation, experiment or personal encounter - that exemplifies the claim.
- Analyse the strengths and limitations of this instance, referring to methodological issues, alternative explanations and the robustness of the evidence.
- Assess the wider implications for our understanding of cognition, communication or policy, and state your own considered position.

You have 2 minutes to prepare. Speak for up to 3 minutes.",C2,none,C1,False,"Changed from C2 to C1: The prompt requires advanced academic vocabulary and the ability to perform complex analytical and evaluative tasks on an abstract, technical topic.",100,5,5,5,0,FLAG,predicted CEFR level outside defined range of labeled level,True,none,FAIRNESS_PASS,pass,REVIEW,REVIEW -- content: Predicted CEFR level outside defined range of labeled level.
255d20df-9426-45ed-a57f-9e7d1f8a991d,speaking,A2,"Describe a shop you often visit.

Topic: Describe a shop you often visit.

You should say:
- Where the shop is.
- What I buy there.
- Why I like this shop.

You have 60 seconds to prepare. Speak for about 60 seconds.",A2,none,A2,True,pass,100,5,5,5,0,PASS,meets all QC targets,False,none,FAIRNESS_PASS,pass,SELECT,SELECT -- passed
